Soviet scientific reviews - C/Mathematical physics reviews;Soviet scientific reviews - C/Mathematical physics reviews;Soviet scientific reviews - C/Mathematical physics reviews
Journal of the American Mathematical Society;J. Am. Math. Soc.;J. Am. Math. Soc.
Constructive Approximation;Constr. Approx.;Constr. Approx.
AIAA Journal;AIAA J.;AIAA J.
Current Science;Curr. Sci.;Curr. Sci.
IMA Journal of Numerical Analysis;IMA J. Numer. Anal.;Shortest unique abbreviation
Visual Computer;Vis. Comput.;Vis. Comput.
Commentarii Mathematici Helvetici;Comment. Math. Helv.;Comment. Math. Helv.
IEEE Transactions on Pattern Analysis and Machine Intelligence;IEEE Trans. Pattern Anal. Mach. Intell.;IEEE Trans. Pattern Anal. Mach. Intell.
Proceedings of the USSR Academy of Sciences;Proc. USSR Acad. Sci.;Proc. USSR Acad. Sci.
Pacific Journal of Mathematics;Pac. J. Math.;Pac. J. Math.
Energies;Energies;Energies
International Journal for Numerical Methods in Engineering;Int. J. Numer. Methods Eng.;Shortest unique abbreviation
Computer Vision Graphics and Image Processing;Comput. Vis. Graph. Image Process.;Comput. Vis. Graph. Image Process.
Communications in Mathematical Physics;Commun. Math. Phys.;Commun. Math. Phys.
Sitzungsberichte der Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Classe;Sitzungsberichte der Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Classe;Sitzungsberichte der Akademie der Wissenschaften in Wien, Mathematisch-Naturwissenschaftliche Classe
Bulletin of the London Mathematical Society;B. Lond. Math. Soc.;B. Lond. Math. Soc.
Journal of Computational Mathematics;J. Comput. Math.;J. Comput. Math.
Computational Methods in Applied Mathematics;Comput. Methods Appl. Math.;Comput. Methods Appl. Math.
Journal de Mathematiques Pures et Appliquees;J. Math. Pures Appl.;J. Math. Pures Appl.
arXiv;arXiv;arXiv
Computing;Comput.;Comput.
Journal of Approximation Theory;J. Approx. Theory;J. Approx. Theory
IEEE Access;IEEE Access;IEEE Access
ESAIM: Mathematical Modelling and Numerical Analysis;Esaim. Math. Model. Numer. Anal.;Esaim. Math. Model. Numer. Anal.
Numerische Mathematik;Numer. Math.;Numer. Math.
International Journal of Computational Fluid Dynamics;Int. J. Comput. Fluid Dyn.;Int. J. Comput. Fluid Dyn.
Journal of Fourier Analysis and Applications;J. Fourier Anal. Appl.;J. Fourier Anal. Appl.
Canadian Geotechnical Journal;Can. Geotech. J.;Can. Geotech. J.
Transactions of the American Mathematical Society;Trans. Am. Math. Soc.;Trans. Am. Math. Soc.
Proceedings of the Japan Academy;Proc. Jpn. Acad.;Proc. Jpn. Acad.
Duke Mathematical Journal;Duke Math. J.;Duke Math. J.
IEEE Transactions on Image Processing;IEEE Trans. Image Process.;IEEE Trans. Image Process.
Foundations of Computational Mathematics;Found. Comput. Math.;Found. Comput. Math.
